"rank_change","symbol","rank","padj","gene"
1154,"ZSCAN29",4583,0.00384693896117431,"ENSG00000140265"
15666,"AC073861.1",4584,0.00384693896117431,"ENSG00000242299"
14624,"COX6A1P2",4585,0.00385210386790973,"ENSG00000226976"
1780,"AC244093.4",4586,0.00385210386790973,"ENSG00000277589"
2116,"ARID2",4587,0.0038564637979852,"ENSG00000189079"
3081,"HAPLN3",4588,0.00385668759270958,"ENSG00000140511"
3340,"TET3",4589,0.00386716346384992,"ENSG00000187605"
2231,"AP000873.2",4590,0.0038741893867943,"ENSG00000247137"
3545,"C3orf18",4591,0.0038801472516918,"ENSG00000088543"
819,"H4C3",4592,0.00388028564330789,"ENSG00000197061"
-2385,"AC135279.2",4593,0.00388917861148077,"ENSG00000255566"
1532,"BANP",4594,0.00390464162372374,"ENSG00000172530"
6727,"STMN4",4595,0.00390532199825514,"ENSG00000015592"
-2696,"AL162724.1",4596,0.00390532199825514,"ENSG00000227200"
2614,"MED15",4597,0.0039062559567671,"ENSG00000099917"
-152,"AC098818.2",4598,0.00390693322625165,"ENSG00000260278"
2602,"TRAV16",4599,0.00390821312760142,"ENSG00000211796"
1283,"YIF1B",4600,0.00390908210518866,"ENSG00000167645"
7362,"MASP1",4601,0.00391221021136617,"ENSG00000127241"
2180,"NEMF",4602,0.00391221021136617,"ENSG00000165525"
-283,"SNHG31",4603,0.00391221021136617,"ENSG00000229267"
362,"PMM2",4604,0.0039165501470781,"ENSG00000140650"
1357,"ST8SIA6",4605,0.0039165501470781,"ENSG00000148488"
4108,"AC108673.3",4606,0.0039165501470781,"ENSG00000273437"
-1062,"EGLN3P1",4607,0.00392058404335588,"ENSG00000256134"
-1170,"AL133406.1",4608,0.0039212770635735,"ENSG00000216639"
164,"IDH3A",4609,0.00392193983156451,"ENSG00000166411"
-878,"PDPK2P",4610,0.00392733144379014,"ENSG00000205918"
-2441,"THOC7-AS1",4611,0.00393470938618632,"ENSG00000240549"
148,"SLC27A6",4612,0.00393667785391357,"ENSG00000113396"
7369,"OPCML",4613,0.00393793763992339,"ENSG00000183715"
3442,"BOK",4614,0.00394268901641167,"ENSG00000176720"
2599,"HPDL",4615,0.00394268901641167,"ENSG00000186603"
-1097,"AC136604.2",4616,0.00394268901641167,"ENSG00000250999"
NA,"AL133351.4",4617,0.00394268901641167,"ENSG00000288612"
-1927,"RPS20P15",4618,0.00394444273444524,"ENSG00000227523"
767,"ZNF131",4619,0.00395316712401768,"ENSG00000172262"
1394,"MACF1",4620,0.00395500662198917,"ENSG00000127603"
5304,"ADAMTS1",4621,0.00395921286832685,"ENSG00000154734"
4145,"ARNTL",4622,0.00396146200382162,"ENSG00000133794"
1939,"SDF4",4623,0.00396466095910882,"ENSG00000078808"
1354,"CICP14",4624,0.00396939769439727,"ENSG00000281490"
762,"HMOX2",4625,0.00397281067678589,"ENSG00000103415"
4805,"SVOP",4626,0.00397281067678589,"ENSG00000166111"
-1088,"DPF1",4627,0.00397287489849413,"ENSG00000011332"
1273,"MCCC2",4628,0.00397436502736813,"ENSG00000131844"
3734,"WSCD1",4629,0.00397701388486761,"ENSG00000179314"
-718,"AC011912.1",4630,0.00397701388486761,"ENSG00000279145"
2494,"PPM1F-AS1",4631,0.00398064234254236,"ENSG00000224086"
2999,"FAM72B",4632,0.00398356624660361,"ENSG00000188610"
1781,"MTPAP",4633,0.00398576744645077,"ENSG00000107951"
NA,"AL031708.1",4634,0.00398979040883801,"ENSG00000261732"
-432,"SHD",4635,0.00399005183289032,"ENSG00000105251"
113,"GAR1",4636,0.00399005183289032,"ENSG00000109534"
1207,"ZNF829",4637,0.00399005183289032,"ENSG00000185869"
3625,"ABRAXAS1",4638,0.0039921622100865,"ENSG00000163322"
5511,"ZMYND15",4639,0.00399835691979165,"ENSG00000141497"
1167,"HK1",4640,0.00399835691979165,"ENSG00000156515"
1282,"INCENP",4641,0.00399974930623487,"ENSG00000149503"
-3378,"LMO7-AS1",4642,0.00400812653481856,"ENSG00000261105"
