"padj","gene","symbol","rank","rank_change"
4.77362895151413e-11,"ENSG00000124766","SOX4",150,136
5.82129943555937e-11,"ENSG00000139112","GABARAPL1",151,235
6.65724667420027e-11,"ENSG00000068971","PPP2R5B",152,156
6.84099728726031e-11,"ENSG00000203999","LINC01270",153,443
7.16022959543911e-11,"ENSG00000147454","SLC25A37",154,352
7.33985475258028e-11,"ENSG00000134668","SPOCD1",155,68
7.59394780881676e-11,"ENSG00000178814","OPLAH",156,366
8.29881914578251e-11,"ENSG00000105374","NKG7",157,265
9.01903843315592e-11,"ENSG00000079393","DUSP13",158,107
9.01903843315592e-11,"ENSG00000109472","CPE",159,711
9.04000497120952e-11,"ENSG00000134986","NREP",160,12389
9.9164279645608e-11,"ENSG00000167671","UBXN6",161,181
1.022158687704e-10,"ENSG00000147650","LRP12",162,346
1.022158687704e-10,"ENSG00000175003","SLC22A1",163,204
1.03410078729745e-10,"ENSG00000102010","BMX",164,345
1.03410078729745e-10,"ENSG00000163507","CIP2A",165,23
1.03410078729745e-10,"ENSG00000172270","BSG",166,141
1.07104248729279e-10,"ENSG00000118193","KIF14",167,2
1.09212750753502e-10,"ENSG00000144792","ZNF660",168,148
1.10705858502546e-10,"ENSG00000198554","WDHD1",169,-7
1.10705858502546e-10,"ENSG00000213160","KLHL23",170,-29
1.18101097009173e-10,"ENSG00000106823","ECM2",171,-69
1.23193507277631e-10,"ENSG00000197714","ZNF460",172,165
1.37463799010973e-10,"ENSG00000077984","CST7",173,202
1.42869434731198e-10,"ENSG00000050165","DKK3",174,601
1.4459591665294e-10,"ENSG00000274422","AC245060.5",175,440
1.47738896764555e-10,"ENSG00000060749","QSER1",176,31
1.48501629399727e-10,"ENSG00000156802","ATAD2",177,8
1.52949089884709e-10,"ENSG00000157657","ZNF618",178,222
1.54375348391349e-10,"ENSG00000154553","PDLIM3",179,178
1.60357182299933e-10,"ENSG00000247903","AC024896.1",180,7842
1.60825976340493e-10,"ENSG00000237264","FTH1P11",181,2250
1.68584909884122e-10,"ENSG00000155189","AGPAT5",182,-48
1.68584909884122e-10,"ENSG00000215030","RPL13P12",183,4789
1.69637851440937e-10,"ENSG00000159173","TNNI1",184,245
1.69893003293515e-10,"ENSG00000139832","RAB20",185,186
1.71548538522183e-10,"ENSG00000117298","ECE1",186,284
1.83472519353931e-10,"ENSG00000104218","CSPP1",187,-109
1.89463564976337e-10,"ENSG00000128383","APOBEC3A",188,347
2.24518496215529e-10,"ENSG00000127955","GNAI1",189,210
2.44680029414857e-10,"ENSG00000186439","TRDN",190,795
2.46454580140899e-10,"ENSG00000169583","CLIC3",191,281
2.51126944378411e-10,"ENSG00000214688","C10orf105",192,-10
2.76914891926915e-10,"ENSG00000158856","DMTN",193,323
2.90908615895549e-10,"ENSG00000269981","AL627309.7",194,679
2.90908615895549e-10,"ENSG00000277443","MARCKS",195,233
2.97631902549571e-10,"ENSG00000140678","ITGAX",196,243
3.03275641960524e-10,"ENSG00000235257","ITGA9-AS1",197,552
3.40013039194685e-10,"ENSG00000162390","ACOT11",198,454
3.45779956824582e-10,"ENSG00000171552","BCL2L1",199,141
3.75356179869294e-10,"ENSG00000116641","DOCK7",200,154
3.87745039231762e-10,"ENSG00000177791","MYOZ1",201,320
3.97521613062478e-10,"ENSG00000029153","ARNTL2",202,303
4.04123405029408e-10,"ENSG00000099860","GADD45B",203,181
4.13290463112247e-10,"ENSG00000101460","MAP1LC3A",204,655
4.43963761121032e-10,"ENSG00000242094","FOXP1-IT1",205,44
4.86463772483262e-10,"ENSG00000128833","MYO5C",206,45
5.07992923567458e-10,"ENSG00000101470","TNNC2",207,1314
5.37355409730113e-10,"ENSG00000116991","SIPA1L2",208,326
5.84963230864913e-10,"ENSG00000185480","PARPBP",209,281
5.85993212449463e-10,"ENSG00000239474","KLHL41",210,-24
6.51889217567555e-10,"ENSG00000172354","GNB2",211,227
6.65630897965957e-10,"ENSG00000117984","CTSD",212,-137
6.81557011695485e-10,"ENSG00000034152","MAP2K3",213,77
6.83031175741607e-10,"ENSG00000286742","AC000065.1",214,NA
6.97867550232253e-10,"ENSG00000088882","CPXM1",215,669
9.48097139927555e-10,"ENSG00000152580","IGSF10",216,522
9.60686418232975e-10,"ENSG00000185650","ZFP36L1",217,405
9.91910197674848e-10,"ENSG00000123689","G0S2",218,267
9.94460648855922e-10,"ENSG00000134686","PHC2",219,278
1.03253809109344e-09,"ENSG00000232442","MHENCR",220,514
1.05480177181475e-09,"ENSG00000182885","ADGRG3",221,384
1.0797866953825e-09,"ENSG00000136205","TNS3",222,17
1.11709394299828e-09,"ENSG00000263563","UBBP4",223,6214
1.11725375907898e-09,"ENSG00000100284","TOM1",224,283
1.12368828601533e-09,"ENSG00000132639","SNAP25",225,1181
1.14045781259415e-09,"ENSG00000168899","VAMP5",226,154
1.15366075089682e-09,"ENSG00000008517","IL32",227,291
1.16190673342098e-09,"ENSG00000115523","GNLY",228,801
1.17107431800716e-09,"ENSG00000178852","EFCAB13",229,231
1.18617623101964e-09,"ENSG00000170290","SLN",230,330
1.19171794641977e-09,"ENSG00000185043","CIB1",231,171
1.20316044043325e-09,"ENSG00000101335","MYL9",232,784
1.28104186068164e-09,"ENSG00000184445","KNTC1",233,143
1.33572155580178e-09,"ENSG00000186638","KIF24",234,372
1.38525543478556e-09,"ENSG00000144407","PTH2R",235,157
1.41299114242602e-09,"ENSG00000179299","NSUN7",236,441
1.44918910178803e-09,"ENSG00000225873","C3orf86",237,350
1.50239830434723e-09,"ENSG00000100100","PIK3IP1",238,261
1.60605417190752e-09,"ENSG00000115165","CYTIP",239,303
1.63256405594597e-09,"ENSG00000182541","LIMK2",240,483
1.64486179550068e-09,"ENSG00000152137","HSPB8",241,316
1.69792115544921e-09,"ENSG00000271270","TMCC1-AS1",242,195
1.88128643486836e-09,"ENSG00000160570","DEDD2",243,89
1.88312727501435e-09,"ENSG00000118495","PLAGL1",244,318
1.88312727501435e-09,"ENSG00000189430","NCR1",245,1129
1.91519561313279e-09,"ENSG00000175084","DES",246,366
1.91519561313279e-09,"ENSG00000198736","MSRB1",247,379
1.91519561313279e-09,"ENSG00000213275","IFITM9P",248,3327
1.99961890717852e-09,"ENSG00000111247","RAD51AP1",249,299
2.10137552542506e-09,"ENSG00000181722","ZBTB20",250,61
2.13300277884304e-09,"ENSG00000158022","TRIM63",251,788
2.14987476192384e-09,"ENSG00000168878","SFTPB",252,1707
2.24486326362527e-09,"ENSG00000146414","SHPRH",253,200
2.53886241830964e-09,"ENSG00000110047","EHD1",254,198
2.68066163166138e-09,"ENSG00000204525","HLA-C",255,488
2.68827961190128e-09,"ENSG00000170956","CEACAM3",256,540
2.69702251383352e-09,"ENSG00000170891","CYTL1",257,423
2.74770970041436e-09,"ENSG00000135114","OASL",258,532
2.76481522984321e-09,"ENSG00000128340","RAC2",259,17
2.77351435568146e-09,"ENSG00000171916","LGALS9C",260,574
2.80500665826835e-09,"ENSG00000197540","GZMM",261,413
2.82908571184287e-09,"ENSG00000265713","AC023389.2",262,62
3.09190279835098e-09,"ENSG00000250802","ZBED3-AS1",263,78
3.14965733507291e-09,"ENSG00000123329","ARHGAP9",264,402
3.28557949127181e-09,"ENSG00000059804","SLC2A3",265,393
3.28557949127181e-09,"ENSG00000184566","AC132216.1",266,127
3.30851249348046e-09,"ENSG00000126353","CCR7",267,333
3.3093251016646e-09,"ENSG00000138778","CENPE",268,323
3.39145051777158e-09,"ENSG00000123700","KCNJ2",269,485
3.39145051777158e-09,"ENSG00000278897","AC020951.1",270,131
3.40926566320966e-09,"ENSG00000105501","SIGLEC5",271,-205
3.45027099756318e-09,"ENSG00000102837","OLFM4",272,565
3.55721836403148e-09,"ENSG00000105287","PRKD2",273,190
3.64803115908937e-09,"ENSG00000084070","SMAP2",274,386
3.64803115908937e-09,"ENSG00000153563","CD8A",275,410
3.87514589618751e-09,"ENSG00000229140","CCDC26",276,172
3.91533984549135e-09,"ENSG00000132376","INPP5K",277,37
3.96069590524215e-09,"ENSG00000172167","MTBP",278,-5
3.99216780643083e-09,"ENSG00000136824","SMC2",279,148
4.09772141543737e-09,"ENSG00000137331","IER3",280,24
4.23880818554522e-09,"ENSG00000160410","SHKBP1",281,645
4.27674102496917e-09,"ENSG00000137812","KNL1",282,322
4.29236029924323e-09,"ENSG00000118520","ARG1",283,457
4.29236029924323e-09,"ENSG00000162551","ALPL",284,593
4.37596569917504e-09,"ENSG00000140379","BCL2A1",285,363
4.44087179367859e-09,"ENSG00000148344","PTGES",286,87
4.50107430670652e-09,"ENSG00000134815","DHX34",287,470
4.67829716377408e-09,"ENSG00000287195","AC131568.1",288,NA
4.74741059803156e-09,"ENSG00000146281","PM20D2",289,261
4.74741059803156e-09,"ENSG00000166004","CEP295",290,116
4.80338633604068e-09,"ENSG00000233328","PFN1P1",291,13868
4.81166244913315e-09,"ENSG00000142546","NOSIP",292,176
4.81166244913315e-09,"ENSG00000223960","CHROMR",293,-87
4.86843626172104e-09,"ENSG00000196549","MME",294,267
4.86843626172104e-09,"ENSG00000211772","TRBC2",295,321
4.9090082479472e-09,"ENSG00000141526","SLC16A3",296,404
4.99284869345973e-09,"ENSG00000184937","WT1",297,69
5.08528550550484e-09,"ENSG00000272219","AC005072.1",298,113
5.19607907736915e-09,"ENSG00000260592","AC130456.3",299,-178
5.33367907642492e-09,"ENSG00000064932","SBNO2",300,347
5.43771135137952e-09,"ENSG00000109107","ALDOC",301,118
5.43771135137952e-09,"ENSG00000163395","IGFN1",302,960
5.47383432672636e-09,"ENSG00000145734","BDP1",303,211
5.51469999306839e-09,"ENSG00000137441","FGFBP2",304,380
5.51469999306839e-09,"ENSG00000197324","LRP10",305,242
5.53457099915071e-09,"ENSG00000171877","FRMD5",306,129
5.53457099915071e-09,"ENSG00000267041","ZNF850",307,337
5.55482040849721e-09,"ENSG00000146263","MMS22L",308,51
5.83396097287666e-09,"ENSG00000015285","WAS",309,308
6.01317604455512e-09,"ENSG00000204475","NCR3",310,494
6.15732898959934e-09,"ENSG00000213468","FIRRE",311,-146
6.34466393343783e-09,"ENSG00000173991","TCAP",312,798
6.55587525571243e-09,"ENSG00000206557","TRIM71",313,174
6.72975700218449e-09,"ENSG00000152455","SUV39H2",314,776
6.72975700218449e-09,"ENSG00000227591","HSD11B1-AS1",315,405
6.90286760052107e-09,"ENSG00000247081","BAALC-AS1",316,217
7.2587229688628e-09,"ENSG00000177105","RHOG",317,224
7.55021069109957e-09,"ENSG00000115604","IL18R1",318,475
7.55021069109957e-09,"ENSG00000279814","AC010997.6",319,85
7.66859060326498e-09,"ENSG00000163915","IGF2BP2-AS1",320,329
7.70698310918364e-09,"ENSG00000008056","SYN1",321,93
7.70698310918364e-09,"ENSG00000152990","ADGRA3",322,61
7.78184608183718e-09,"ENSG00000197956","S100A6",323,376
7.91399549255422e-09,"ENSG00000129682","FGF13",324,NA
8.02475013318206e-09,"ENSG00000221983","UBA52",325,131
8.13196947813323e-09,"ENSG00000077238","IL4R",326,403
8.28219312227526e-09,"ENSG00000167083","GNGT2",327,25
8.29414736721725e-09,"ENSG00000225720","AL031846.1",328,1351
8.41214542255354e-09,"ENSG00000086967","MYBPC2",329,1351
8.71110583308247e-09,"ENSG00000112576","CCND3",330,208
8.75348738135653e-09,"ENSG00000101003","GINS1",331,2972
8.75534305611875e-09,"ENSG00000127920","GNG11",332,240
8.9930528241858e-09,"ENSG00000013364","MVP",333,221
9.45575664672672e-09,"ENSG00000152104","PTPN14",334,0
9.45575664672672e-09,"ENSG00000167565","SERTAD3",335,278
9.55731295016875e-09,"ENSG00000204767","INSYN2B",336,1389
9.67811801935019e-09,"ENSG00000286153","AP000331.1",337,NA
1.05495623740405e-08,"ENSG00000107890","ANKRD26",338,840
1.05495623740405e-08,"ENSG00000170892","TSEN34",339,505
1.05495623740405e-08,"ENSG00000182782","HCAR2",340,209
1.05495623740405e-08,"ENSG00000203668","CHML",341,794
1.05495623740405e-08,"ENSG00000250280","AC026124.1",342,141
1.08181007711053e-08,"ENSG00000130600","H19",343,258
1.09022401020245e-08,"ENSG00000263961","RHEX",344,459
1.12254527546341e-08,"ENSG00000163191","S100A11",345,496
1.1265019368014e-08,"ENSG00000160808","MYL3",346,1793
1.15639319717764e-08,"ENSG00000129657","SEC14L1",347,348
1.2054034925411e-08,"ENSG00000100450","GZMH",348,589
1.20695034059821e-08,"ENSG00000162545","CAMK2N1",349,204
1.2133182268818e-08,"ENSG00000173281","PPP1R3B",350,366
1.24834359968521e-08,"ENSG00000173846","PLK3",351,-88
1.2703038404798e-08,"ENSG00000226564","FTH1P20",352,2113
1.27560874818284e-08,"ENSG00000117594","HSD11B1",353,125
1.27851493535986e-08,"ENSG00000063854","HAGH",354,329
1.34142052794597e-08,"ENSG00000260852","FBXL19-AS1",355,-112
1.37417492796292e-08,"ENSG00000189077","TMEM120A",356,702
1.40165486544293e-08,"ENSG00000224083","MTCO1P11",357,-78
1.40632528162489e-08,"ENSG00000134571","MYBPC3",358,994
1.48526486673909e-08,"ENSG00000071794","HLTF",359,12848
1.52618991133212e-08,"ENSG00000184481","FOXO4",360,-47
1.52618991133212e-08,"ENSG00000240403","KIR3DL2",361,600
1.60824884780963e-08,"ENSG00000166925","TSC22D4",362,132
1.61208252334467e-08,"ENSG00000178502","KLHL11",363,-196
1.62876998181697e-08,"ENSG00000238741","SCARNA7",364,83
1.64201336218389e-08,"ENSG00000130165","ELOF1",365,-66
1.72675107507005e-08,"ENSG00000156162","DPY19L4",366,407
1.74381154454844e-08,"ENSG00000123838","C4BPA",367,278
1.81468785172158e-08,"ENSG00000254789","AC073172.1",368,291
1.82120459061599e-08,"ENSG00000229644","NAMPTP1",369,678
1.8773917966556e-08,"ENSG00000125753","VASP",370,376
1.89729868007957e-08,"ENSG00000133739","LRRCC1",371,155
1.9855282570516e-08,"ENSG00000229154","KCNQ5-AS1",372,101
2.01575833871244e-08,"ENSG00000160211","G6PD",373,248
2.02921332183043e-08,"ENSG00000117724","CENPF",374,540
2.03477195095271e-08,"ENSG00000138772","ANXA3",375,569
2.17284952721239e-08,"ENSG00000172331","BPGM",376,212
2.18655095745534e-08,"ENSG00000123473","STIL",377,14
2.19974923583399e-08,"ENSG00000250903","GMDS-DT",378,-94
2.21099164443459e-08,"ENSG00000197582","GPX1P1",379,4554
2.24425368061843e-08,"ENSG00000232729","AC211433.1",380,-113
2.24715218941866e-08,"ENSG00000136492","BRIP1",381,395
2.27289233509247e-08,"ENSG00000151835","SACS",382,590
2.2836137372499e-08,"ENSG00000160588","MPZL3",383,235
2.34770372733502e-08,"ENSG00000022567","SLC45A4",384,340
2.38842473191654e-08,"ENSG00000007038","PRSS21",385,12
2.38842473191654e-08,"ENSG00000281398","SNHG4",386,-166
2.40062849685078e-08,"ENSG00000012048","BRCA1",387,350
2.40691280758101e-08,"ENSG00000225889","AC012368.1",388,459
2.42040459036195e-08,"ENSG00000136982","DSCC1",389,-19
2.43744699192478e-08,"ENSG00000106714","CNTNAP3",390,780
2.50164374886177e-08,"ENSG00000118513","MYB",391,427
2.5046775310504e-08,"ENSG00000110876","SELPLG",392,138
2.50861973882248e-08,"ENSG00000139970","RTN1",393,1023
2.53529560698467e-08,"ENSG00000198482","ZNF808",394,584
2.57063846141488e-08,"ENSG00000183242","WT1-AS",395,108
2.57734643503181e-08,"ENSG00000136732","GYPC",396,415
2.73483269433173e-08,"ENSG00000197616","MYH6",397,922
2.76266502747683e-08,"ENSG00000174501","ANKRD36C",398,477
2.77904932082645e-08,"ENSG00000146112","PPP1R18",399,140
2.82558075239185e-08,"ENSG00000154188","ANGPT1",400,694
2.83397898981544e-08,"ENSG00000064270","ATP2C2",401,919
2.89172360381468e-08,"ENSG00000268362","AC092279.1",402,-121
2.94581258358429e-08,"ENSG00000287932","AC000065.2",403,NA
2.99471351957891e-08,"ENSG00000103067","ESRP2",404,1906
3.04398431743557e-08,"ENSG00000204177","BMS1P1",405,699
3.04996268770784e-08,"ENSG00000279175","AL033543.1",406,80
3.08914415722767e-08,"ENSG00000286616","AL008730.1",407,NA
3.19241639317555e-08,"ENSG00000265142","MIR133A1HG",408,-91
3.21276343370772e-08,"ENSG00000137312","FLOT1",409,687
3.5305876878643e-08,"ENSG00000140534","TICRR",410,257
3.83226828266458e-08,"ENSG00000148926","ADM",411,575
3.89354185401287e-08,"ENSG00000265972","TXNIP",412,393
3.92040522853317e-08,"ENSG00000081923","ATP8B1",413,233
4.00825277137245e-08,"ENSG00000223551","TMSB4XP4",414,8607
4.02266159506602e-08,"ENSG00000129173","E2F8",415,807
4.08234921109273e-08,"ENSG00000185760","KCNQ5",416,837
4.10127472726727e-08,"ENSG00000145901","TNIP1",417,79
4.10657455969542e-08,"ENSG00000261512","AC092368.3",418,146
4.4072693619727e-08,"ENSG00000235740","PHACTR2-AS1",419,-9
4.52333431683872e-08,"ENSG00000196460","RFX8",420,708
4.56297846532103e-08,"ENSG00000130598","TNNI2",421,1085
4.58701519355944e-08,"ENSG00000197776","KLHDC1",422,1668
4.82752301601776e-08,"ENSG00000058404","CAMK2B",423,2577
4.85913510040096e-08,"ENSG00000176788","BASP1",424,753
5.06155106432522e-08,"ENSG00000187790","FANCM",425,297
5.06476473024402e-08,"ENSG00000230257","NFE4",426,726
5.06997112355931e-08,"ENSG00000151131","C12orf45",427,438
5.17435616583423e-08,"ENSG00000228232","GAPDHP1",428,15679
5.1768022023411e-08,"ENSG00000068323","TFE3",429,268
5.18445876278349e-08,"ENSG00000236254","MTND4P14",430,89
5.22859553587571e-08,"ENSG00000228205","AC131235.1",431,24251
5.23690503574976e-08,"ENSG00000153395","LPCAT1",432,119
5.40207870439708e-08,"ENSG00000197622","CDC42SE1",433,448
5.40207870439708e-08,"ENSG00000213763","ACTBP2",434,22200
5.46831617003514e-08,"ENSG00000173210","ABLIM3",435,364
5.59452134616606e-08,"ENSG00000132436","FIGNL1",436,139
5.63463445200955e-08,"ENSG00000254325","AC018607.1",437,298
5.67545210020169e-08,"ENSG00000175455","CCDC14",438,243
5.84922604614616e-08,"ENSG00000163431","LMOD1",439,1309
5.85159566164099e-08,"ENSG00000160229","ZNF66",440,-287
5.88551593597701e-08,"ENSG00000220517","ASS1P1",441,-38
5.92281405402101e-08,"ENSG00000165887","ANKRD2",442,503
5.94321274869356e-08,"ENSG00000130222","GADD45G",443,700
5.99329222905855e-08,"ENSG00000157193","LRP8",444,839
6.10699479189395e-08,"ENSG00000167851","CD300A",445,563
