"gene","GTExN7MScountsREPROCESSED","GTExNFK9countsREPROCESSED","GTExO5YTcountsREPROCESSED","GDC2821countsREPROCESSED","GDC2828countsREPROCESSED","GDC2839countsREPROCESSED","padj","symbol","rank","rank_change"
"ENSG00000288612",37,52,387,97,49,31,0.00394268901641167,"AL133351.4",4617,NA
"ENSG00000261732",1,0,0,39,87,12,0.00398979040883801,"AL031708.1",4634,NA
"ENSG00000025708",2870,1904,17112,460,3883,118,0.00420026294493994,"TYMP",4700,NA
"ENSG00000287378",0,0,1,31,26,50,0.0042203006935352,"AC129803.1",4706,NA
"ENSG00000287405",9,8,25,150,297,105,0.00427251685478732,"AC017028.2",4718,NA
"ENSG00000288075",6,3,32,415,99,204,0.00428389487351143,"AC108519.1",4720,NA
"ENSG00000231684",9,4,11,0,1,1,0.00430897732230802,"EIF1P3",4726,NA
"ENSG00000273112",29,4,43,9,7,0,0.00434160523473586,"AL590385.2",4733,NA
"ENSG00000233729",0,4,34,0,0,0,0.0044978498652054,"NCKAP5-AS1",4784,NA
"ENSG00000287431",1,3,6,56,40,158,0.00458320772902385,"AC027601.5",4808,NA
"ENSG00000286316",1,0,0,48,34,24,0.00460581832932307,"Z93020.1",4815,NA
"ENSG00000287503",0,0,0,30,46,10,0.0046067168787142,"AC027243.3",4816,NA
"ENSG00000285812",1,0,0,32,51,24,0.00460768701714073,"AL390719.3",4818,NA
"ENSG00000285758",0,1,0,53,25,29,0.0047413977844564,"AC036214.4",4855,NA
"ENSG00000287458",9,8,3,164,263,60,0.00481935957756886,"AL033519.5",4874,NA
"ENSG00000285996",0,0,0,32,22,20,0.00491729174831055,"AC006116.9",4907,NA
"ENSG00000285679",1,1,0,59,29,44,0.00493195530622242,"AC079142.1",4912,NA
"ENSG00000287959",1,0,0,60,40,15,0.00504489337771424,"AC021236.1",4936,NA
"ENSG00000185985",3,1,20,0,0,0,0.00507406328669058,"SLITRK2",4944,NA
"ENSG00000248643",14,2,18,157,146,249,0.00508811535447882,"RBM14-RBM4",4946,NA
"ENSG00000284606",3,2,2,77,89,27,0.00511755879088774,"AC105233.4",4952,NA
"ENSG00000201207",11,8,14,1,5,0,0.0051227916801407,"Y_RNA",4956,NA
"ENSG00000287113",0,0,1,101,19,16,0.00517990198690849,"AL139289.2",4968,NA
"ENSG00000285231",5,4,11,1,0,0,0.00526843228538468,"OOSP3",4991,NA
"ENSG00000285081",1,0,3,26,98,39,0.00527683884476701,"AC004593.1",4994,NA
"ENSG00000286633",1,4,0,86,112,32,0.00533087008997951,"AL160400.1",5001,NA
"ENSG00000228247",4,6,9,0,1,0,0.00538468030931613,"UBBP2",5013,NA
"ENSG00000284976",341,275,488,548,349,178,0.00548646901064714,"BX255925.3",5035,NA
"ENSG00000286524",0,0,0,24,16,32,0.00550282183045707,"AC092567.2",5038,NA
"ENSG00000287447",2,0,0,60,43,33,0.00598365189691878,"AC099501.1",5130,NA
"ENSG00000177338",3,15,2,1,0,0,0.0061837608310851,"LINC00469",5163,NA
"ENSG00000286092",0,0,0,18,31,21,0.00618885955742629,"AC117503.5",5167,NA
"ENSG00000285852",2,0,0,41,22,89,0.00632655539491772,"AL353147.1",5204,NA
"ENSG00000287737",13,22,269,52,12,12,0.00632655539491772,"AC132872.5",5205,NA
"ENSG00000267461",3,2,45,3,0,0,0.00633329599619265,"AC079210.1",5207,NA
"ENSG00000211766",18,13,4,5,0,0,0.0063557162744211,"TRBJ2-2P",5215,NA
"ENSG00000286559",0,0,0,45,9,25,0.00640005924156429,"AC099845.1",5221,NA
"ENSG00000287978",78,57,290,126,46,8,0.00644291501854289,"AC245407.2",5228,NA
