"gene","GTExN7MScountsPUBLISHED","GTExNFK9countsPUBLISHED","GTExO5YTcountsPUBLISHED","GDC2821countsPUBLISHED","GDC2828countsPUBLISHED","GDC2839countsPUBLISHED","padj","symbol","rank","rank_change"
"ENSG00000221333",0,0,0,16,28,9,0.00491497791599498,"MIR548K",7433,NA
"ENSG00000187848",0,0,1,12,18,46,0.004938128521642,"P2RX2",7440,NA
"ENSG00000263177",0,0,0,33,11,11,0.00497078768234319,"MTND1P8",7445,NA
"ENSG00000236058",0,0,0,10,20,20,0.00498134798431436,"RPL17P36",7448,NA
"ENSG00000233133",0,0,0,17,13,18,0.00498240473176437,"AC104451.1",7449,NA
"ENSG00000243592",0,0,0,10,25,16,0.00498389790336356,"RPL17P22",7450,NA
"ENSG00000239437",1,1,2,7,74,47,0.00498504939517913,"RN7SL752P",7451,NA
"ENSG00000224678",0,0,0,16,13,19,0.00503883550377415,"GAPDHP46",7463,NA
"ENSG00000224802",0,0,0,9,20,22,0.00504416243263708,"TUBB4BP2",7464,NA
"ENSG00000252494",0,0,0,22,6,29,0.00505131620194074,"RNU6-126P",7470,NA
"ENSG00000252904",0,0,0,15,24,11,0.00505131620194074,"AC010359.1",7471,NA
"ENSG00000231534",0,0,0,9,19,23,0.00508986449473144,"FBXO36-IT1",7478,NA
"ENSG00000245248",0,0,0,23,9,19,0.00509320801356085,"USP2-AS1",7480,NA
"ENSG00000257738",0,0,0,15,13,20,0.00514713461121565,"AC009248.1",7491,NA
"ENSG00000241697",2,11,12,1,0,0,0.00514732341517365,"TMEFF1",7492,NA
"ENSG00000267285",0,0,1,29,23,14,0.0051564394513334,"AC004672.2",7494,NA
"ENSG00000225658",0,0,0,21,4,40,0.00515645581465796,"TAF13P2",7496,NA
"ENSG00000279337",0,0,0,23,24,7,0.00515991412523349,"AC127024.7",7499,NA
"ENSG00000230498",0,0,0,9,24,18,0.00516913175111354,"AL035409.1",7505,NA
"ENSG00000244952",0,0,0,16,27,9,0.00516913175111354,"AC123768.1",7506,NA
"ENSG00000248466",0,0,0,24,9,18,0.00517288630090335,"AC098827.1",7507,NA
"ENSG00000183542",80,51,15,17,1,0,0.00518263514005253,"KLRC4",7512,NA
"ENSG00000232162",0,0,0,16,3,56,0.00522409029343482,"USP12-AS1",7519,NA
"ENSG00000201114",0,0,0,13,11,27,0.00522518289923216,"Y_RNA",7520,NA
"ENSG00000188004",6,3,16,1,0,0,0.00523632338851443,"SNHG28",7522,NA
"ENSG00000244101",0,0,0,9,17,25,0.00527735363534983,"HMGN1P10",7532,NA
"ENSG00000269482",11,28,2,1,3,1,0.00528982924889267,"Z69720.1",7538,NA
"ENSG00000257494",0,0,0,9,14,30,0.00529510967203075,"AC004217.1",7539,NA
"ENSG00000215277",0,0,0,9,13,32,0.0053117498254447,"RNF212B",7544,NA
"ENSG00000252750",0,0,0,14,30,9,0.00534579527653904,"RNU7-70P",7546,NA
"ENSG00000207233",0,0,0,9,28,15,0.0053541857966063,"SNORA37",7548,NA
"ENSG00000229455",0,0,0,12,15,21,0.00539478919189181,"RPS10P18",7558,NA
"ENSG00000235189",0,0,0,13,17,17,0.00541754935614958,"AL034405.1",7566,NA
"ENSG00000274197",0,0,0,18,26,8,0.00542793898178927,"U4",7568,NA
"ENSG00000232202",0,0,0,31,8,15,0.00543222795837503,"CHORDC1P1",7570,NA
"ENSG00000235141",0,0,0,9,26,16,0.00543890500817306,"COX6CP17",7572,NA
"ENSG00000207653",0,0,0,13,18,16,0.00544394479904201,"MIR558",7574,NA
"ENSG00000279883",0,0,0,9,10,39,0.0054451906197925,"AC010480.1",7577,NA
"ENSG00000225727",0,0,0,29,2,44,0.00546090993426252,"AL139184.1",7581,NA
"ENSG00000252800",0,0,0,10,22,17,0.00546704327605543,"AL132992.1",7587,NA
"ENSG00000254248",0,0,0,10,17,22,0.00546704327605543,"AC068189.1",7588,NA
"ENSG00000258837",0,0,0,18,7,29,0.00546704327605543,"AL133370.1",7589,NA
"ENSG00000258957",0,0,0,17,10,22,0.00546704327605543,"AL359317.2",7590,NA
"ENSG00000263709",0,0,0,9,18,23,0.00547466530428325,"AC024619.3",7594,NA
"ENSG00000206991",0,0,0,14,19,14,0.00547623447489109,"RNU6-610P",7595,NA
"ENSG00000252456",0,0,0,8,27,17,0.00553138382655814,"RNA5SP434",7602,NA
"ENSG00000252915",0,0,0,8,20,23,0.00553318617659892,"Y_RNA",7603,NA
"ENSG00000200674",0,0,0,11,16,21,0.00556519041783323,"RN7SKP160",7609,NA
"ENSG00000212493",0,0,0,26,7,20,0.00557130816078996,"SNORD19",7610,NA
"ENSG00000227759",0,0,0,9,17,24,0.00558467667229727,"VTI1BP4",7615,NA
"ENSG00000207287",0,0,0,7,12,40,0.00558705571251222,"RNU6-1274P",7618,NA
"ENSG00000251111",0,0,0,17,9,24,0.00558846538805823,"FCF1P8",7623,NA
"ENSG00000254048",0,0,0,11,11,30,0.00560150753295504,"AC105150.1",7626,NA
"ENSG00000176029",0,1,0,19,19,25,0.00563139295673656,"C11orf16",7633,NA
"ENSG00000278374",0,0,0,16,19,12,0.0056420571083533,"U4",7637,NA
"ENSG00000252569",0,0,0,10,14,26,0.00564959190109295,"RNU6-1153P",7638,NA
"ENSG00000108452",0,0,0,14,32,8,0.00564986536401319,"ZNF29P",7639,NA
"ENSG00000270975",0,0,0,7,10,45,0.00566117661863042,"MAGOH3P",7645,NA
"ENSG00000252971",0,0,0,11,22,15,0.00570389736498992,"RNU6-1057P",7650,NA
"ENSG00000237197",0,0,0,42,3,23,0.00573389277220413,"IGHD1-7",7657,NA
"ENSG00000264273",0,0,0,5,20,33,0.00573478702866548,"AC107982.2",7658,NA
"ENSG00000270381",0,0,0,9,25,16,0.0057358678618196,"AL138963.2",7660,NA
"ENSG00000228525",0,0,0,10,19,19,0.00574214335129749,"AL353689.1",7661,NA
"ENSG00000199325",1,0,0,33,7,39,0.00574914442375792,"RNU4-39P",7664,NA
"ENSG00000202356",0,0,0,12,12,25,0.00575816030766894,"RNA5SP277",7667,NA
"ENSG00000238963",0,0,0,10,20,18,0.00576159538570036,"U8",7671,NA
"ENSG00000223324",0,0,0,16,14,16,0.00577004189254139,"RN7SKP273",7673,NA
"ENSG00000249407",0,0,0,16,7,31,0.00577690499608259,"IL20RB-AS1",7677,NA
"ENSG00000252019",0,0,0,6,17,33,0.00578423924341519,"RNU6ATAC9P",7680,NA
"ENSG00000229794",0,0,0,12,13,23,0.00578995492164243,"MTCYBP32",7684,NA
"ENSG00000271264",0,0,0,15,17,14,0.00579847211202026,"MZT1P1",7687,NA
"ENSG00000250677",0,0,0,14,15,17,0.00580862620940665,"AC114781.3",7690,NA
"ENSG00000271657",0,0,0,9,14,28,0.00581896138386511,"AC018462.2",7698,NA
"ENSG00000241129",0,0,0,14,8,31,0.00583179555418022,"RPL22P19",7702,NA
"ENSG00000271817",1,0,0,17,17,31,0.00585788438874104,"U3",7705,NA
"ENSG00000207370",0,0,0,17,11,19,0.00586082067883099,"Y_RNA",7706,NA
"ENSG00000272215",0,0,0,13,21,13,0.00587171380350196,"U7",7711,NA
"ENSG00000236806",0,0,0,13,13,21,0.00587599350884924,"RPL7AP15",7712,NA
"ENSG00000222503",0,0,0,16,13,17,0.00588430174702401,"Y_RNA",7716,NA
"ENSG00000283108",1,0,0,28,11,29,0.00592574001205713,"AC011451.3",7721,NA
"ENSG00000242076",21,5,52,8,7,2,0.00594797828205775,"IGKV1-33",7722,NA
"ENSG00000244712",0,0,0,15,13,18,0.00595614680658467,"AC084754.1",7728,NA
"ENSG00000159166",6,12,1,0,0,0,0.00606648270173829,"LAD1",7745,NA
"ENSG00000266901",1,0,0,32,15,18,0.00608159837594534,"AC068473.2",7753,NA
"ENSG00000241179",0,0,0,5,22,29,0.00608778921966948,"AC010301.1",7754,NA
"ENSG00000242958",1,0,0,23,23,16,0.00608778921966948,"AC040975.1",7755,NA
"ENSG00000259710",0,0,0,8,14,30,0.00609532770532601,"NUTF2P6",7757,NA
"ENSG00000255156",0,0,0,12,24,12,0.00609706563450422,"RNY1P9",7760,NA
"ENSG00000198580",0,0,0,10,23,15,0.00610274262742009,"AC073343.1",7761,NA
"ENSG00000255441",42,4,8,2,5,1,0.00614191469198129,"SIGLEC10-AS1",7768,NA
"ENSG00000240163",0,0,0,9,51,6,0.0061741832797804,"AC087385.1",7773,NA
"ENSG00000242791",0,0,0,17,25,8,0.00617882097604967,"AC117395.1",7775,NA
"ENSG00000283416",0,0,0,36,15,6,0.00618281885443955,"MIR1910",7776,NA
"ENSG00000234832",0,0,0,20,7,24,0.0061836965459529,"NXT1-AS1",7777,NA
"ENSG00000229418",0,0,0,43,12,6,0.006187277853117,"AL136181.1",7778,NA
"ENSG00000207369",0,0,0,10,20,17,0.00623433922415499,"RNU6-665P",7790,NA
"ENSG00000225934",0,0,0,11,22,14,0.00627011773329567,"FAM133FP",7800,NA
