"gene","GTExN7MScountsREPROCESSED","GTExNFK9countsREPROCESSED","GTExO5YTcountsREPROCESSED","GDC2821countsREPROCESSED","GDC2828countsREPROCESSED","GDC2839countsREPROCESSED","padj","symbol","rank","rank_change"
"ENSG00000070495",1910,1827,4593,885,671,578,3.89636480461524e-12,"JMJD6",102,128
"ENSG00000112303",7088,11626,172220,356,995,61,4.2790384937771e-12,"VNN2",103,227
"ENSG00000149289",6,6,27,1886,810,2278,4.44474354577876e-12,"ZC3H12C",104,129
"ENSG00000197893",189,119,159,0,0,1,4.44474354577876e-12,"NRAP",105,221
"ENSG00000164047",859,153,319,20,9,1,5.7212962131215e-12,"CAMP",106,328
"ENSG00000173894",5,4,4,2252,364,935,5.96000843125033e-12,"CBX2",107,151
"ENSG00000106484",24,6,33,1529,1834,1366,6.08964832328306e-12,"MEST",108,956
"ENSG00000100985",5168,5360,16183,244,4,15,6.39010466956764e-12,"MMP9",109,193
"ENSG00000158828",602,693,1538,229,253,191,6.39010466956764e-12,"PINK1",110,9
"ENSG00000244734",2892707,5422362,1555212,51467,258,5984,6.54872468326119e-12,"HBB",111,244
"ENSG00000139890",156,305,498,55,15,18,6.60629194099146e-12,"REM2",112,158
"ENSG00000219507",183,137,284,0,8,0,7.23685820886358e-12,"FTH1P8",113,15
"ENSG00000051341",22,5,20,1486,1787,925,7.30355893618273e-12,"POLQ",114,46
"ENSG00000144354",43,22,33,2197,3378,1430,7.30355893618273e-12,"CDCA7",115,274
"ENSG00000149639",103,63,138,3741,5701,3254,7.42798701876285e-12,"SOGA1",116,115
"ENSG00000180644",15828,19637,2515,719,139,216,9.27233519421921e-12,"PRF1",117,227
"ENSG00000172116",447,957,307,48,10,6,9.79164162845065e-12,"CD8B",118,256
"ENSG00000164309",133,188,365,42,12,20,1.06810736135377e-11,"CMYA5",119,573
"ENSG00000178295",51,32,66,2229,2251,1235,1.07415628334805e-11,"GEN1",120,178
"ENSG00000285417",6,0,12,4278,1369,662,1.21411503635944e-11,"BX571818.1",121,NA
"ENSG00000173868",5396,4657,2167,146,225,12,1.24337840720468e-11,"PHOSPHO1",122,113
"ENSG00000124731",4815,6288,11943,995,1712,407,1.25865480859806e-11,"TREM1",123,417
"ENSG00000169180",17305,16605,91204,5640,4291,2632,1.27607984141708e-11,"XPO6",124,221
"ENSG00000171051",18161,30305,173947,1095,1327,27,1.28283575788403e-11,"FPR1",125,282
"ENSG00000227507",1823,711,1382,251,111,60,1.51240091372503e-11,"LTB",126,253
"ENSG00000258819",53,275,130,2,1,0,1.69491846073839e-11,"LINC02289",127,405
"ENSG00000120306",774,1480,29938,107,181,68,1.95334844263408e-11,"CYSTM1",128,318
"ENSG00000255398",1758,451,121,17,14,18,2.06526377030314e-11,"HCAR3",129,224
"ENSG00000269821",106,24,133,11190,4938,8888,2.4009574880044e-11,"KCNQ1OT1",130,444
"ENSG00000142731",14,12,13,725,1032,664,2.47603206440814e-11,"PLK4",131,32
"ENSG00000125498",114,262,96,11,3,1,2.60573345133888e-11,"KIR2DL1",132,224
"ENSG00000188536",1125080,626411,239198,5574,18,61,2.60573345133888e-11,"HBA2",133,282
"ENSG00000242960",46,74,167,4,6,0,2.93727968306079e-11,"FTH1P23",134,5936
"ENSG00000243772",145,150,50,6,4,1,3.04410532936743e-11,"KIR2DL3",135,63
"ENSG00000109846",267,176,305,15,0,8,3.26911428996708e-11,"CRYAB",136,635
"ENSG00000213362",41,51,118,3,3,0,3.29753076335483e-11,"FTH1P12",137,6638
"ENSG00000118276",11,3,21,1635,780,2523,3.35084225019968e-11,"B4GALT6",138,-24
"ENSG00000196923",3941,2984,6768,1380,464,408,3.58616069296396e-11,"PDLIM7",139,246
"ENSG00000236562",79,38,205,1,2,0,3.58616069296396e-11,"IFITM3P1",140,1211
"ENSG00000164116",23,18,13,4992,933,4119,3.74338334197523e-11,"GUCY1A1",141,404
"ENSG00000286071",16,8,9,854,972,916,3.87729692113004e-11,"AL136171.2",142,NA
"ENSG00000187608",256,231,585,113,101,61,4.4216764345021e-11,"ISG15",143,41
"ENSG00000257335",1760,4390,40021,377,437,63,4.4216764345021e-11,"MGAM",144,279
"ENSG00000127084",8854,6902,23100,3139,3496,1557,4.43335364767125e-11,"FGD3",145,132
"ENSG00000281344",1,4,7,390,706,781,4.43335364767125e-11,"HELLPAR",146,45
"ENSG00000130066",23694,16966,63802,4513,7541,2173,4.60193465165135e-11,"SAT1",147,216
"ENSG00000156970",15,2,13,1096,1620,732,4.6100922056847e-11,"BUB1B",148,284
"ENSG00000119969",46,43,37,3023,2742,1344,4.72911176554397e-11,"HELLS",149,139
"ENSG00000124766",57,31,106,2543,4717,5725,4.77362895151413e-11,"SOX4",150,136
"ENSG00000139112",2177,1537,4011,761,679,259,5.82129943555937e-11,"GABARAPL1",151,235
"ENSG00000068971",1014,648,1508,232,332,133,6.65724667420027e-11,"PPP2R5B",152,156
"ENSG00000203999",169,225,696,5,25,1,6.84099728726031e-11,"LINC01270",153,443
"ENSG00000147454",26666,37688,76053,10058,2149,2382,7.16022959543911e-11,"SLC25A37",154,352
"ENSG00000134668",116,56,83,1,0,2,7.33985475258028e-11,"SPOCD1",155,68
"ENSG00000178814",133,309,5062,32,28,19,7.59394780881676e-11,"OPLAH",156,366
"ENSG00000105374",11686,8884,6564,1689,388,401,8.29881914578251e-11,"NKG7",157,265
"ENSG00000079393",97,41,178,4,0,0,9.01903843315592e-11,"DUSP13",158,107
"ENSG00000109472",39,147,397,5,0,0,9.01903843315592e-11,"CPE",159,711
"ENSG00000134986",4,1,8,628,364,683,9.04000497120952e-11,"NREP",160,12389
"ENSG00000167671",8379,6714,5052,1582,694,771,9.9164279645608e-11,"UBXN6",161,181
"ENSG00000147650",5,9,10,948,438,410,1.022158687704e-10,"LRP12",162,346
"ENSG00000175003",62,35,110,3,4,0,1.022158687704e-10,"SLC22A1",163,204
"ENSG00000102010",137,352,4672,48,14,8,1.03410078729745e-10,"BMX",164,345
"ENSG00000163507",19,20,27,966,901,582,1.03410078729745e-10,"CIP2A",165,23
"ENSG00000172270",10129,7886,17350,4984,4287,2520,1.03410078729745e-10,"BSG",166,141
"ENSG00000118193",11,8,7,592,1389,661,1.07104248729279e-10,"KIF14",167,2
"ENSG00000144792",8,4,13,659,552,1115,1.09212750753502e-10,"ZNF660",168,148
"ENSG00000198554",23,25,35,1009,1062,799,1.10705858502546e-10,"WDHD1",169,-7
"ENSG00000213160",5,5,17,1056,412,578,1.10705858502546e-10,"KLHL23",170,-29
"ENSG00000106823",8,8,13,634,813,314,1.18101097009173e-10,"ECM2",171,-69
"ENSG00000197714",21,27,17,2519,1063,1527,1.23193507277631e-10,"ZNF460",172,165
"ENSG00000077984",5730,13492,59236,2095,670,1419,1.37463799010973e-10,"CST7",173,202
"ENSG00000050165",69,131,224,17,2,3,1.42869434731198e-10,"DKK3",174,601
"ENSG00000274422",2,6,1,658,546,836,1.4459591665294e-10,"AC245060.5",175,440
"ENSG00000060749",64,80,78,2901,3145,2935,1.47738896764555e-10,"QSER1",176,31
"ENSG00000156802",108,104,160,3859,3471,2358,1.48501629399727e-10,"ATAD2",177,8
