"gene","GTExN7MScountsREPROCESSED","GTExNFK9countsREPROCESSED","GTExO5YTcountsREPROCESSED","GDC2821countsREPROCESSED","GDC2828countsREPROCESSED","GDC2839countsREPROCESSED","padj","symbol","rank","rank_change"
"ENSG00000104879",2735,1531,655,11,60,60,3.4480440417067e-13,"CKM",112,308
"ENSG00000163507",19,20,27,1034,1059,773,3.70825910643072e-13,"CIP2A",113,75
"ENSG00000225470",14,7,7,1179,1233,2461,5.14059347704412e-13,"JPX",114,-27
"ENSG00000115607",1675,5936,40574,328,48,61,5.32113126488445e-13,"IL18RAP",115,130
"ENSG00000214688",77,81,169,32,19,15,5.67580921554302e-13,"C10orf105",116,66
"ENSG00000106484",24,6,33,1652,2098,1714,5.99050370363573e-13,"MEST",117,947
"ENSG00000147872",15575,5285,7703,1214,1215,820,6.22353114165968e-13,"PLIN2",118,151
"ENSG00000168530",209,149,67,0,0,0,6.22353114165968e-13,"MYL1",119,250
"ENSG00000130165",749,718,1038,404,394,388,7.60403463623914e-13,"ELOF1",120,179
"ENSG00000178295",51,32,66,2378,2590,1556,9.04211889270663e-13,"GEN1",121,177
"ENSG00000152463",13,906,5694,5,1,4,9.20742642285242e-13,"OLAH",122,144
"ENSG00000184481",1630,1201,2076,599,464,680,9.20742642285242e-13,"FOXO4",123,190
"ENSG00000286071",16,8,9,922,1105,1198,1.01624323861175e-12,"AL136171.2",124,NA
"ENSG00000034152",5458,3777,10684,2812,2690,2350,1.14157874186479e-12,"MAP2K3",125,165
"ENSG00000127084",8854,6902,23100,3406,4012,2329,1.2166993946197e-12,"FGD3",126,151
"ENSG00000124766",57,31,106,2814,5511,7408,1.29123391871398e-12,"SOX4",127,159
"ENSG00000066279",25,7,12,1837,3406,1960,1.47047370232715e-12,"ASPM",128,12
"ENSG00000159173",450,111,61,2,1,1,1.47047370232715e-12,"TNNI1",129,300
"ENSG00000051341",22,5,20,1610,2039,1266,1.53038283660251e-12,"POLQ",130,30
"ENSG00000239474",44,70,126,3,2,9,1.59689872078664e-12,"KLHL41",131,55
"ENSG00000139890",156,305,498,60,17,24,1.68360051300611e-12,"REM2",132,138
"ENSG00000175003",62,35,110,3,4,0,1.72520229266285e-12,"SLC22A1",133,234
"ENSG00000136205",143,194,307,7224,7218,4979,1.84749892587144e-12,"TNS3",134,105
"ENSG00000172270",10129,7886,17350,5422,4962,3209,1.95086504275372e-12,"BSG",135,172
"ENSG00000164309",133,188,365,48,13,27,2.09108246711424e-12,"CMYA5",136,556
"ENSG00000286051",0,0,0,2418,482,6603,2.09462249737205e-12,"AC244102.3",137,NA
"ENSG00000128340",16055,17423,54705,6951,7741,8455,2.12351240668901e-12,"RAC2",138,138
"ENSG00000281344",1,4,7,425,810,953,2.74803300948949e-12,"HELLPAR",139,52
"ENSG00000119969",46,43,37,3249,3100,1897,3.21924100443512e-12,"HELLS",140,148
"ENSG00000173846",2059,2280,2797,1147,1027,781,3.27599870508594e-12,"PLK3",141,122
"ENSG00000196923",3941,2984,6768,1489,542,666,3.3003149815424e-12,"PDLIM7",142,243
"ENSG00000013306",46603,39787,9269,2592,1334,1139,3.68834723053688e-12,"SLC25A39",143,146
"ENSG00000144792",8,4,13,703,620,1375,3.69554409930457e-12,"ZNF660",144,172
"ENSG00000170525",10437,5449,42112,1594,1850,668,3.75781705279756e-12,"PFKFB3",145,158
"ENSG00000168878",157,111,140,35,28,17,3.8040349174977e-12,"SFTPB",146,1813
"ENSG00000177791",232,81,50,3,2,3,3.91345196174341e-12,"MYOZ1",147,374
"ENSG00000186439",51,44,64,0,3,2,4.04256487512762e-12,"TRDN",148,837
"ENSG00000243772",145,150,50,6,7,5,4.08155604406688e-12,"KIR2DL3",149,49
"ENSG00000173894",5,4,4,2443,429,1227,4.57561234203352e-12,"CBX2",150,108
"ENSG00000116641",43,20,80,2163,1919,2170,4.80146961327801e-12,"DOCK7",151,203
"ENSG00000227507",1823,711,1382,265,125,92,5.05041787277699e-12,"LTB",152,227
"ENSG00000118276",11,3,21,1768,926,3220,5.29026115899087e-12,"B4GALT6",153,-39
"ENSG00000185900",81,96,139,5302,5647,2724,5.44111220440705e-12,"POMK",154,-131
"ENSG00000124731",4815,6288,11943,1085,1958,570,5.48814126725931e-12,"TREM1",155,385
"ENSG00000105501",192,124,752,34,44,18,5.68924947598971e-12,"SIGLEC5",156,-90
"ENSG00000185480",9,6,8,466,602,558,5.77076367432402e-12,"PARPBP",157,333
"ENSG00000131669",6534,3649,6475,1034,629,219,6.35214964629402e-12,"NINJ1",158,163
"ENSG00000152137",24,79,89,2,2,2,6.35214964629402e-12,"HSPB8",159,398
"ENSG00000169180",17305,16605,91204,6087,4912,3518,6.35214964629402e-12,"XPO6",160,185
"ENSG00000206172",146011,76520,9166,253,0,34,6.35214964629402e-12,"HBA1",161,16
"ENSG00000134986",4,1,8,680,425,993,7.67968137528162e-12,"NREP",162,12387
"ENSG00000223960",68,48,76,2354,2199,3202,7.84915194772873e-12,"CHROMR",163,43
