"rank_change","symbol","rank","padj","gene"
49,"KIR2DL3",149,4.08155604406688e-12,"ENSG00000243772"
108,"CBX2",150,4.57561234203352e-12,"ENSG00000173894"
203,"DOCK7",151,4.80146961327801e-12,"ENSG00000116641"
227,"LTB",152,5.05041787277699e-12,"ENSG00000227507"
-39,"B4GALT6",153,5.29026115899087e-12,"ENSG00000118276"
-131,"POMK",154,5.44111220440705e-12,"ENSG00000185900"
385,"TREM1",155,5.48814126725931e-12,"ENSG00000124731"
-90,"SIGLEC5",156,5.68924947598971e-12,"ENSG00000105501"
333,"PARPBP",157,5.77076367432402e-12,"ENSG00000185480"
163,"NINJ1",158,6.35214964629402e-12,"ENSG00000131669"
398,"HSPB8",159,6.35214964629402e-12,"ENSG00000152137"
185,"XPO6",160,6.35214964629402e-12,"ENSG00000169180"
16,"HBA1",161,6.35214964629402e-12,"ENSG00000206172"
12387,"NREP",162,7.67968137528162e-12,"ENSG00000134986"
43,"CHROMR",163,7.84915194772873e-12,"ENSG00000223960"
296,"EFCAB13",164,9.08911983712558e-12,"ENSG00000178852"
340,"ARNTL2",165,1.00661077596032e-11,"ENSG00000029153"
302,"NOSIP",166,1.12390958763637e-11,"ENSG00000142546"
217,"GADD45B",167,1.1522727606793e-11,"ENSG00000099860"
221,"CDCA7",168,1.1690813809984e-11,"ENSG00000144354"
126,"CEBPB",169,1.19260580703495e-11,"ENSG00000172216"
6605,"FTH1P12",170,1.2217934514088e-11,"ENSG00000213362"
403,"KCNQ1OT1",171,1.25510400430852e-11,"ENSG00000269821"
101,"MTBP",172,1.36663637618211e-11,"ENSG00000172167"
266,"ITGAX",173,1.47569639256543e-11,"ENSG00000140678"
-33,"KLHL23",174,1.5388981028908e-11,"ENSG00000213160"
224,"GNAI1",175,1.6064375380679e-11,"ENSG00000127955"
166,"UBXN6",176,1.67336127835818e-11,"ENSG00000167671"
317,"TSC22D4",177,1.68756322809334e-11,"ENSG00000166925"
330,"LRP12",178,1.88111876340171e-11,"ENSG00000147650"
556,"AC018607.1",179,2.21320279070158e-11,"ENSG00000254325"
426,"KIF24",180,2.35065660732484e-11,"ENSG00000186638"
182,"SAT1",181,2.72394708660245e-11,"ENSG00000130066"
363,"GUCY1A1",182,2.72394708660245e-11,"ENSG00000164116"
154,"ZNF460",183,2.72394708660245e-11,"ENSG00000197714"
67,"MYO5C",184,2.9325074536625e-11,"ENSG00000128833"
168,"HCAR3",185,2.9467589185038e-11,"ENSG00000255398"
534,"HSD11B1-AS1",186,3.03070378221879e-11,"ENSG00000227591"
115,"MMP9",187,3.30301430649162e-11,"ENSG00000100985"
186,"CD8B",188,3.30301430649162e-11,"ENSG00000172116"
155,"PRF1",189,3.3593123829677e-11,"ENSG00000180644"
242,"BUB1B",190,3.49771634896998e-11,"ENSG00000156970"
7831,"AC024896.1",191,3.56820215292243e-11,"ENSG00000247903"
542,"MHENCR",192,3.67263673482395e-11,"ENSG00000232442"
178,"RAB20",193,3.78443583269757e-11,"ENSG00000139832"
577,"CRYAB",194,3.94385474627055e-11,"ENSG00000109846"
-26,"KIF14",195,4.04068719857767e-11,"ENSG00000118193"
13011,"HLTF",196,4.04758843397169e-11,"ENSG00000071794"
317,"BDP1",197,4.05034505471771e-11,"ENSG00000145734"
551,"ITGA9-AS1",198,4.05720987458397e-11,"ENSG00000235257"
416,"AC245060.5",199,4.23388807658372e-11,"ENSG00000274422"
175,"CST7",200,4.48051754539987e-11,"ENSG00000077984"
139,"BCL2L1",201,5.11322229021767e-11,"ENSG00000171552"
