"padj","gene","symbol","rank","rank_change"
5.58762863688759e-15,"ENSG00000077454","LRCH4",173,3528
5.5885156034987e-15,"ENSG00000103569","AQP9",174,-92
6.64361029788001e-15,"ENSG00000262814","MRPL12",175,25376
7.04080512650929e-15,"ENSG00000196843","ARID5A",176,-129
7.20609861128985e-15,"ENSG00000206172","HBA1",177,-16
7.53867264459615e-15,"ENSG00000213654","GPSM3",178,-110
8.49686777268486e-15,"ENSG00000139618","BRCA2",179,-117
9.42154087098808e-15,"ENSG00000116299","ELAPOR1",180,-92
1.01876849070118e-14,"ENSG00000184702","SEPTIN5",181,25033
1.03147799598453e-14,"ENSG00000214688","C10orf105",182,-66
1.10355632546189e-14,"ENSG00000267855","NDUFA7",183,20272
1.27229772393279e-14,"ENSG00000187608","ISG15",184,-106
1.3000523626469e-14,"ENSG00000156802","ATAD2",185,-120
1.43472951641566e-14,"ENSG00000239474","KLHL41",186,-55
1.47557301436566e-14,"ENSG00000119121","TRPM6",187,-111
1.47557301436566e-14,"ENSG00000163507","CIP2A",188,-75
1.48386835859213e-14,"ENSG00000140932","CMTM2",189,-116
1.55819100654819e-14,"ENSG00000213809","KLRK1",190,1963
1.56793892197789e-14,"ENSG00000281344","HELLPAR",191,-52
1.62057620093757e-14,"ENSG00000143774","GUK1",192,-115
1.92595792792475e-14,"ENSG00000008438","PGLYRP1",193,-126
2.23634738938734e-14,"ENSG00000213931","HBE1",194,NA
2.3080468188089e-14,"ENSG00000007062","PROM1",195,-123
2.31960634714447e-14,"ENSG00000117862","TXNDC12",196,23996
2.48824411791136e-14,"ENSG00000115590","IL1R2",197,-122
2.94627479757192e-14,"ENSG00000243772","KIR2DL3",198,-49
2.99800995691616e-14,"ENSG00000261824","LINC00662",199,653
3.24440782394009e-14,"ENSG00000235652","FBXO30-DT",200,516
3.31782322618721e-14,"ENSG00000197114","ZGPAT",201,5992
3.36957048700426e-14,"ENSG00000279117","AP001972.5",202,NA
3.48694186785862e-14,"ENSG00000100031","GGT1",203,9048
3.48694186785862e-14,"ENSG00000101084","RAB5IF",204,23997
3.53000875919002e-14,"ENSG00000249593","AC011405.1",205,134
3.66963052931037e-14,"ENSG00000223960","CHROMR",206,-43
3.92844080454512e-14,"ENSG00000060749","QSER1",207,-105
4.0625862709048e-14,"ENSG00000137133","HINT2",208,25361
4.48059415678127e-14,"ENSG00000263647","BPTFP1",209,NA
4.58230587160214e-14,"ENSG00000211596","IGKJ2",210,NA
4.65860626625855e-14,"ENSG00000135924","DNAJB2",211,-145
5.43288496806173e-14,"ENSG00000099977","DDT",212,NA
5.48260497907924e-14,"ENSG00000268903","AL627309.6",213,-179
6.82302413881455e-14,"ENSG00000281991","TMEM265",214,NA
7.05447775094027e-14,"ENSG00000111245","MYL2",215,-166
7.05447775094027e-14,"ENSG00000132471","WBP2",216,-142
8.11251516928874e-14,"ENSG00000189067","LITAF",217,-117
8.87263868237996e-14,"ENSG00000100092","SH3BP1",218,1950
9.587652041274e-14,"ENSG00000243749","TMEM35B",219,NA
9.61194259945706e-14,"ENSG00000281398","SNHG4",220,191
1.16584275866961e-13,"ENSG00000257949","TEN1",221,NA
1.26684396612309e-13,"ENSG00000213780","GTF2H4",222,NA
1.38065386780149e-13,"ENSG00000134668","SPOCD1",223,-119
1.45144644506291e-13,"ENSG00000258315","C17orf49",224,22316
1.80778216075189e-13,"ENSG00000229833","PET100",225,6639
2.07343675601625e-13,"ENSG00000284024","AC069544.2",226,10476
2.21839292642764e-13,"ENSG00000204592","HLA-E",227,-116
2.33070774480398e-13,"ENSG00000173110","HSPA6",228,-121
2.3933822430401e-13,"ENSG00000196312","MFSD14C",229,3539
2.41665051334183e-13,"ENSG00000070495","JMJD6",230,-170
2.48004822682307e-13,"ENSG00000149639","SOGA1",231,-122
2.66926939490179e-13,"ENSG00000095059","DHPS",232,17954
3.10323940060554e-13,"ENSG00000149289","ZC3H12C",233,-123
3.14976354324072e-13,"ENSG00000102098","SCML2",234,-141
3.15214845992964e-13,"ENSG00000173868","PHOSPHO1",235,-127
3.15214845992964e-13,"ENSG00000245060","LINC00847",236,12097
3.49422013814885e-13,"ENSG00000140264","SERF2",237,27
3.53652551432237e-13,"ENSG00000167768","KRT1",238,-135
3.80932352060362e-13,"ENSG00000136205","TNS3",239,-105
3.92646788797879e-13,"ENSG00000215440","NPEPL1",240,2877
4.01796909132779e-13,"ENSG00000231999","LRRC8C-DT",241,920
4.17875389777797e-13,"ENSG00000203896","LIME1",242,3894
