"gene","GTExN7MScountsREPROCESSED","GTExNFK9countsREPROCESSED","GTExO5YTcountsREPROCESSED","GDC2821countsREPROCESSED","GDC2828countsREPROCESSED","GDC2839countsREPROCESSED","padj","symbol","rank","rank_change"
"ENSG00000261732",1,0,0,41,98,69,0.000345323631725204,"AL031708.1",3163,NA
"ENSG00000287092",0,0,1,171,8,258,0.000362462019193866,"AL589693.1",3193,NA
"ENSG00000287837",28,12,28,732,276,408,0.000375151919254955,"AL590064.1",3213,NA
"ENSG00000286076",8,7,16,0,1,3,0.000395396019987697,"AC005050.3",3247,NA
"ENSG00000248780",4,3,76,0,0,2,0.000396855999974758,"ARL4AP2",3252,NA
"ENSG00000285533",59,72,132,85,81,99,0.000425766316760124,"RELA-DT",3321,NA
"ENSG00000286861",1,5,2,107,80,120,0.000445173959080669,"AL049779.4",3359,NA
"ENSG00000286803",0,0,0,29,48,41,0.000463178000222465,"AL109824.1",3383,NA
"ENSG00000287097",14,106,0,2,0,2,0.000464536760520796,"AL590550.1",3391,NA
"ENSG00000228347",15,6,6,1,1,0,0.000496018717223224,"FTLP17",3442,NA
"ENSG00000286219",13,10,2,318,426,251,0.000502865298479865,"NOTCH2NLC",3451,NA
"ENSG00000286640",7,53,6,5,2,4,0.000505965604650332,"AC093151.5",3461,NA
"ENSG00000287427",0,0,0,16,213,23,0.000507214190998864,"AL390236.1",3468,NA
"ENSG00000286314",8,0,2,101,359,255,0.00050772149290876,"AC010359.3",3471,NA
"ENSG00000285627",6,0,0,198,161,201,0.000519601746209894,"AC005343.4",3492,NA
"ENSG00000236592",2,7,22,0,1,0,0.000551375775658998,"S100A11P2",3544,NA
"ENSG00000286216",0,0,1,66,44,57,0.000558533599084793,"AC104335.1",3558,NA
"ENSG00000254996",40,31,77,462,729,564,0.000562353912573002,"ANKHD1-EIF4EBP3",3562,NA
"ENSG00000070729",1,7,79,0,0,2,0.000566356190227892,"CNGB1",3570,NA
"ENSG00000254851",18,25,3,3,1,4,0.000567859581695839,"AP005018.2",3572,NA
"ENSG00000266302",3,0,0,254,43,114,0.000585386396027058,"AC098850.3",3591,NA
"ENSG00000286305",6,0,3,107,112,144,0.00059317227793131,"AC004893.2",3597,NA
"ENSG00000265992",51,1,2,1,0,0,0.000594163784856535,"ESRG",3598,NA
"ENSG00000287581",0,0,0,35,26,58,0.000596274559496251,"AC016549.1",3600,NA
"ENSG00000287695",0,0,0,39,25,52,0.000602964668709185,"AC008625.1",3611,NA
"ENSG00000286316",1,0,0,52,39,91,0.00062547286012608,"Z93020.1",3647,NA
"ENSG00000276758",13,26,83,6,14,0,0.000631891614503509,"AC245884.12",3658,NA
"ENSG00000287131",5,20,56,8,1,0,0.000635496980569034,"AC096970.1",3661,NA
"ENSG00000287872",0,0,0,28,24,84,0.000687481407295468,"AC026956.2",3745,NA
"ENSG00000283515",0,0,0,50,20,48,0.000705697212892506,"AC020915.4",3771,NA
"ENSG00000254387",1,8,26,0,1,0,0.000752686182592331,"MYL12AP1",3822,NA
"ENSG00000273112",29,4,43,9,9,3,0.000779494081955978,"AL590385.2",3847,NA
"ENSG00000287769",1,1,4,64,55,102,0.000806471599405108,"AL353748.3",3874,NA
"ENSG00000286548",4,0,0,217,46,197,0.000833352716531036,"AL596214.1",3904,NA
"ENSG00000286846",0,1,0,66,26,97,0.000839225312865529,"Z93943.1",3909,NA
"ENSG00000110002",99,81,1275,190,64,63,0.000857698127646809,"VWA5A",3933,NA
"ENSG00000286035",13,5,46,306,425,426,0.000862245326304448,"AC073840.1",3946,NA
"ENSG00000286771",1,1,1,68,39,83,0.000873386057866046,"AC097658.3",3956,NA
"ENSG00000287002",3,0,2,50,83,104,0.000895117362345861,"AL589644.1",3969,NA
"ENSG00000287117",0,0,1,97,17,95,0.000970541695685755,"AC105916.1",4040,NA
"ENSG00000287936",1,0,1,49,52,80,0.00101404494466553,"AL391425.1",4083,NA
"ENSG00000233419",4,7,8,1,0,0,0.00102340943849353,"IFITM3P7",4102,NA
"ENSG00000233791",15,17,273,5,7,30,0.00103019570083814,"LINC01136",4113,NA
"ENSG00000285231",5,4,11,1,0,0,0.00103241785008326,"OOSP3",4117,NA
"ENSG00000239039",0,0,0,27,20,78,0.0010408600714909,"SNORD13",4126,NA
"ENSG00000287458",9,8,3,170,283,132,0.00107980669463382,"AL033519.5",4167,NA
"ENSG00000237169",6,13,267,3,14,15,0.00113096569466059,"RPL12P27",4199,NA
"ENSG00000287437",2,0,2,46,62,86,0.00116493484592045,"AL161662.1",4234,NA
"ENSG00000285994",12,0,1,225,643,271,0.00117139293293057,"AL731559.1",4243,NA
"ENSG00000286092",0,0,0,19,36,49,0.00122417230934564,"AC117503.5",4275,NA
