"gene","GTExN7MScountsPUBLISHED","GTExNFK9countsPUBLISHED","GTExO5YTcountsPUBLISHED","GDC2821countsPUBLISHED","GDC2828countsPUBLISHED","GDC2839countsPUBLISHED","padj","symbol","rank","rank_change"
"ENSG00000180871",14198,18477,86108,37,191,354,1.24293012373855e-18,"CXCR2",94,-63
"ENSG00000100453",6501,6805,2510,106,38,22,1.57846495112014e-18,"GZMB",95,-65
"ENSG00000267368",802,770,526,0,0,0,1.60221487164974e-18,"UPK3BL1",96,NA
"ENSG00000130592",28407,18886,63877,3097,1959,3334,1.85654075091769e-18,"LSP1",97,-56
"ENSG00000077522",294,187,238,2,6,3,2.05105529427007e-18,"ACTN2",98,-87
"ENSG00000198125",1263,404,332,2,2,4,2.51064813590047e-18,"MB",99,-82
"ENSG00000062582",381,466,533,23,10,28,2.61308371115689e-18,"MRPS24",100,19091
"ENSG00000167996",59392,22238,66643,2582,1971,920,2.63987071059471e-18,"FTH1",101,2690
"ENSG00000106823",3,6,16,678,916,728,2.77185619286982e-18,"ECM2",102,-46
"ENSG00000143570",539,1217,5525,38,35,15,2.79526224975148e-18,"SLC39A1",103,20951
"ENSG00000149798",365,436,2065,20,4,9,3.33134775767744e-18,"CDC42EP2",104,NA
"ENSG00000242114",652,451,246,6,5,8,5.23625057720251e-18,"MTFP1",105,10682
"ENSG00000279605",569,416,1126,31,6,9,5.84649710014438e-18,"AC067930.5",106,13017
"ENSG00000122778",4,1,15,1938,1204,937,7.54610848530472e-18,"KIAA1549",107,-49
"ENSG00000145029",380,241,779,0,0,0,8.06079451876944e-18,"NICN1",108,NA
"ENSG00000166337",1416,1659,5275,217,226,250,9.63254353704607e-18,"TAF10",109,17370
"ENSG00000143632",7587,1566,856,15,21,10,1.00623743854605e-17,"ACTA1",110,-89
"ENSG00000106992",1247,996,678,37,13,28,1.1389727230405e-17,"AK1",111,1154
"ENSG00000185262",4835,5613,14161,1147,866,1103,1.29440024057833e-17,"UBALD2",112,-79
"ENSG00000175826",5208,4106,8663,1066,1153,856,1.32167752294873e-17,"CTDNEP1",113,1188
"ENSG00000118276",8,3,4,1765,923,3210,1.36071858323171e-17,"B4GALT6",114,39
"ENSG00000266820",314,274,1246,0,0,0,1.80726517638231e-17,"KPNA2P3",115,NA
"ENSG00000124102",886,212,771,1,2,0,2.29198537924133e-17,"PI3",116,-81
"ENSG00000243708",1351,693,519,28,18,20,2.67852107782591e-17,"PLA2G4B",117,25646
"ENSG00000229314",338,224,1522,9,11,2,3.32239190854939e-17,"ORM1",118,-72
"ENSG00000158828",1199,1357,3527,244,286,264,4.35397708539387e-17,"PINK1",119,-74
"ENSG00000176340",1472,1771,5052,321,324,247,4.35397708539387e-17,"COX8A",120,324
"ENSG00000260592",331,710,318,4,0,2,4.35397708539387e-17,"AC130456.3",121,98
"ENSG00000141086",300,162,236,3,1,1,4.3881880334353e-17,"CTRL",122,NA
"ENSG00000243056",269,291,950,35,15,26,5.86508101241113e-17,"EIF4EBP3",123,25847
"ENSG00000008128",957,552,2138,104,61,96,8.78730033160712e-17,"CDK11A",124,11970
"ENSG00000260279",2,0,3,563,803,611,1.20900525760646e-16,"AC137932.1",125,8822
"ENSG00000105967",88,169,295,5883,7915,6790,1.22550616628966e-16,"TFEC",126,-87
"ENSG00000128271",1905,771,2031,112,43,53,1.2646670091168e-16,"ADORA2A",127,23532
"ENSG00000219507",126,109,235,14,16,11,1.70903709098403e-16,"FTH1P8",128,-110
"ENSG00000105393",2323,1675,2606,341,322,305,2.07281367387142e-16,"BABAM1",129,3557
"ENSG00000274173",143,843,1813,5,0,3,2.17393221572247e-16,"AL035661.1",130,-77
"ENSG00000213246",1229,2029,8898,133,41,81,2.6940645337287e-16,"SUPT4H1",131,9410
"ENSG00000099785",4272,2502,7278,411,631,376,4.14865915352693e-16,"MARCHF2",132,-89
"ENSG00000087086",218218,179500,340725,19875,29481,10669,4.25067538964682e-16,"FTL",133,-81
"ENSG00000155189",111,106,146,3119,3113,3475,4.84603949517485e-16,"AGPAT5",134,-63
"ENSG00000105647",734,398,590,37,15,32,5.88547692618032e-16,"PIK3R2",135,21951
"ENSG00000176208",54,36,40,2232,2714,2434,6.1741985795095e-16,"ATAD5",136,-111
"ENSG00000185201",45849,61055,393799,4199,1272,2237,6.33498407650027e-16,"IFITM2",137,-74
"ENSG00000166507",1314,1523,11191,86,111,88,6.40207844921922e-16,"NDST2",138,15342
"ENSG00000246859",0,4,4,1486,541,1605,6.75372053607316e-16,"STARD4-AS1",139,-40
"ENSG00000066279",32,11,22,1834,3389,1958,7.03695502054975e-16,"ASPM",140,-12
"ENSG00000213160",8,8,16,1143,463,806,7.2262760720528e-16,"KLHL23",141,33
"ENSG00000162366",2260,1526,1008,34,3,11,7.24731700657097e-16,"PDZK1IP1",142,-83
"ENSG00000266469",105,141,312,11,6,13,7.57078206899177e-16,"AC005288.1",143,NA
"ENSG00000247828",33,51,85,1890,1415,2072,1.00240620501992e-15,"TMEM161B-AS1",144,565
"ENSG00000213073",606,361,282,0,0,0,1.01560767285664e-15,"CHP1P2",145,NA
"ENSG00000167524",24,10,39,1147,1216,943,1.1210760504402e-15,"RSKR",146,4935
"ENSG00000249898",3,4,3,549,360,546,1.1289106001745e-15,"MCPH1-AS1",147,386
"ENSG00000136371",340,1061,3663,37,19,39,1.16017511522621e-15,"MTHFS",148,17580
"ENSG00000022840",22528,20928,74750,4745,4068,4367,1.16276770794617e-15,"RNF10",149,-79
"ENSG00000221957",393,304,225,1,4,0,1.49005361341128e-15,"KIR2DS4",150,-63
"ENSG00000223609",311355,1287265,304345,1309,22,1594,1.59604472039984e-15,"HBD",151,5468
"ENSG00000214456",408,1828,4265,26,57,18,1.68040912485469e-15,"PLIN5",152,-73
"ENSG00000160229",6,10,6,1212,545,1138,2.24561565131901e-15,"ZNF66",153,373
"ENSG00000126246",708,1030,4049,23,47,75,2.28429435890049e-15,"IGFLR1",154,5468
"ENSG00000035664",1759,983,3343,251,127,127,2.30414344656857e-15,"DAPK2",155,-98
"ENSG00000132846",41,22,68,1347,1492,1653,2.36123180762474e-15,"ZBED3",156,-120
"ENSG00000188603",2193,2243,3573,368,506,266,2.40598298615174e-15,"CLN3",157,17995
"ENSG00000151726",34807,35808,271805,3583,2534,1973,2.75112118813487e-15,"ACSL1",158,-104
"ENSG00000226232",220,128,287,2,1,0,2.83069242346938e-15,"NPIPB14P",159,NA
"ENSG00000051341",31,10,31,1605,2034,1258,3.25339515054059e-15,"POLQ",160,-30
"ENSG00000092054",2457,656,532,0,2,0,3.27653230659517e-15,"MYH7",161,-129
"ENSG00000198554",34,42,61,1082,1204,1051,3.56520579006895e-15,"WDHD1",162,-76
"ENSG00000142731",22,18,24,770,1147,880,3.67046372355006e-15,"PLK4",163,-58
"ENSG00000112651",228,233,377,27,30,42,3.82518916851576e-15,"MRPL2",164,22638
"ENSG00000213468",14,6,10,1689,696,2150,3.90910727182523e-15,"FIRRE",165,222
"ENSG00000186704",124,79,194,10,10,7,4.05445581530427e-15,"DTX2P1",166,25402
"ENSG00000178502",2,5,8,545,374,730,4.53925732169482e-15,"KLHL11",167,104
"ENSG00000196998",2838,2492,7762,579,494,663,4.56081803031822e-15,"WDR45",168,394
"ENSG00000118193",8,11,9,625,1573,870,4.64885951986106e-15,"KIF14",169,26
"ENSG00000114626",9763,15191,66989,1553,1115,1399,4.81153459671148e-15,"ABTB1",170,-119
"ENSG00000254505",1267,770,3238,129,183,154,4.92934977594781e-15,"CHMP4A",171,20485
"ENSG00000134072",427,533,509,63,52,59,5.12627490915621e-15,"CAMK1",172,21245
"ENSG00000077454",6405,5716,15642,1789,1097,1041,5.58762863688759e-15,"LRCH4",173,3528
"ENSG00000103569",12377,33002,169619,196,533,27,5.5885156034987e-15,"AQP9",174,-92
"ENSG00000262814",288,437,522,59,29,36,6.64361029788001e-15,"MRPL12",175,25376
"ENSG00000196843",6046,5787,20256,1423,958,1156,7.04080512650929e-15,"ARID5A",176,-129
"ENSG00000206172",486504,254282,48153,246,0,34,7.20609861128985e-15,"HBA1",177,-16
"ENSG00000213654",17668,18151,82636,2507,3086,1982,7.53867264459615e-15,"GPSM3",178,-110
"ENSG00000139618",51,40,112,1630,2668,1911,8.49686777268486e-15,"BRCA2",179,-117
"ENSG00000116299",1495,1235,1636,57,5,21,9.42154087098808e-15,"ELAPOR1",180,-92
